"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","0","1","1","0","0","10238.5","20.2","386.2","696.6","11348.2","2388"
"2","0","1","1","0","0","11082.9","10.3","29.3","369","11498.3","2388"
"3","0","1","1","0","0","10203","10.3","123.8","238","10582.5","2388"
"4","0","1","1","0","0","9676.9","10","88.8","260.4","10044.2","2388"
"5","0","1","1","0","0","9454.3","785.2","157.4","210.4","10612.1","2403"
"6","0","1","1","0","0","9416.2","85","236","312.2","10058.8","2403"
"7","0","1","1","0","0","10153.3","45.3","77","181.9","10464.6","2403"
"8","0","1","1","0","0","9832","42.1","127.5","165.4","10175.2","2403"
"9","0","1","1","0","0","11529.7","48.8","84.7","176.6","11847.5","2403"
"10","0","1","1","0","0","12353.8","59.6","142.6","178.6","12742.5","2403"
"11","0","1","1","0","0","13951.6","65.5","211","218.9","14455.3","2403"
"12","0","1","1","0","0","13771","61.8","81.6","173.2","14099.5","2403"
"13","0","1","1","0","0","13979","45.1","85.4","175.8","14293.6","2403"
"14","0","1","1","0","0","11593.3","61.1","205.8","226.7","12096","2403"
"15","0","1","1","0","0","10444.7","59.6","85.4","167.3","10763.6","2403"
"16","0","1","1","0","0","12365","60.7","83.9","169.2","12686.5","2403"
"17","0","1","1","0","0","13262.3","68.4","79.9","182.3","13599.1","2403"
"18","0","1","1","0","0","13009","61","73","147.6","13296.6","2403"
"19","0","1","1","0","0","11003.3","53.1","77.9","180.4","11322.3","2403"
"20","0","1","1","0","0","12418.7","60.9","148.6","176.7","12811.5","2403"
"21","0","1","1","0","0","15974.6","84.4","112.9","191.6","16373.1","2403"
"22","0","1","1","0","0","9746","52.6","93.8","124.1","10024.3","2403"
"23","0","1","1","0","0","12105.9","68","79.9","149","12410.9","2403"
"24","0","1","1","0","0","15923.1","83.6","89.1","156.9","16259.8","2403"
"25","0","1","1","0","0","17109.9","56","212.8","281.3","17668.1","2403"
"26","0","1","1","0","0","12697.9","51.2","68.1","149.6","12974.3","2403"
"27","0","1","1","0","0","9313.8","49.1","1741","1461.3","12574","2403"
"28","0","1","1","0","0","10425.6","64.6","159.6","228.6","10886.6","2403"
"29","0","1","1","0","0","10840.6","75.3","89.3","153.4","11166.8","2403"
"30","0","1","1","0","0","14467.4","55.9","67.5","162.4","14758","2403"
"31","0","1","1","0","0","15276.5","48.8","123.2","208.9","15663.9","2403"
"32","0","1","1","0","0","9211.7","45.2","83.4","186.1","9534.4","2403"
"33","0","1","1","0","0","9345.1","60.4","83","164.7","9661.1","2403"
"34","0","1","1","0","0","9634.2","48","87.4","156.9","9933.9","2403"
"35","0","1","1","0","0","16443.4","128.6","112.4","259.5","16952.7","2403"
"36","0","1","1","0","0","20271.4","76.3","89.2","193.5","20636.9","2403"
"37","0","1","1","0","0","9522.2","53.8","198.5","288.3","10070","2403"
"38","0","1","1","0","0","9206.6","46.2","151.6","294.9","9706.2","2403"
"39","0","1","1","0","0","10467","49","85.3","141.9","10750","2403"
"40","0","1","1","0","0","10789.1","48.5","87.9","176.7","11109.7","2403"
"41","0","1","1","0","0","12558.8","43.7","83.7","154.7","12852.1","2403"
"42","0","1","1","0","0","9083","44.6","88.5","228.9","9452.4","2403"
"43","0","1","1","0","0","9410.3","43.5","85.9","170.7","9717.3","2403"
"44","0","1","1","0","0","10224.4","48.9","83.9","173.5","10538","2403"
"45","0","1","1","0","0","9141.1","49.7","66.2","148.4","9410.9","2403"
"46","0","1","1","0","0","11229.7","40.4","70.9","154.2","11501.5","2403"
"47","0","1","1","0","0","11991.8","52.4","87.1","264.6","12403.4","2403"
"48","0","1","1","0","0","9605.1","43.9","73.6","152.3","9881.4","2403"
"49","0","1","1","0","0","13408.8","44.5","194.4","246.2","13904.8","2403"
"50","0","1","1","0","0","12709.2","179.9","147.9","2404.9","15449.5","2403"
"51","0","1","1","0","0","11618.6","47.5","81.4","148.8","11904","2403"
"52","0","1","1","0","0","9607.7","47","75","135.9","9872.4","2403"
"53","0","1","1","0","0","14246.1","48.5","73","215.2","14589.9","2403"
"54","0","1","1","0","0","11194.4","83.7","298.4","177.4","11763.5","2403"
"55","0","1","1","0","0","9908.2","46.2","205.6","215.4","10383.5","2403"
"56","0","1","1","0","0","9325.3","45.7","90.1","157.8","9627.1","2403"
"57","0","1","1","0","0","9866.7","57.7","83.4","172.2","10187.3","2403"
"58","0","1","1","0","0","11709.6","50.1","76.9","157.2","12000.3","2403"
"59","0","1","1","0","0","9197.3","50.4","82.8","163.2","9500.9","2403"
"60","0","1","1","0","0","10122.1","48.7","111.5","189","10480","2403"
"61","0","1","1","0","0","13429.4","50.7","93.7","1479.5","15061.1","2403"
"62","0","1","1","0","0","9763","52.4","79.1","173.9","10075.2","2403"
"63","0","1","1","0","0","9149.5","45.2","193.1","211.3","9605.8","2403"
"64","0","1","1","0","0","9146.1","45.9","97.7","177.9","9474.5","2403"
"65","0","1","1","0","0","11451.6","63.3","83.2","156.7","11762.3","2403"
"66","0","1","1","0","0","15431.2","51.2","82","161.2","15733.1","2403"
"67","0","1","1","0","0","14904","52","69.3","166.1","15199","2403"
"68","0","1","1","0","0","12289.1","299.6","63.1","131.3","12787.8","2445"
"69","0","1","1","0","0","10910.9","60.9","77.8","250.7","11308","2445"
