"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","0","1","1","1","1","17540.1","22.6","1018.2","1144.3","19732.7","2773"
"4","0","1","1","0","0","11700.3","666.3","25.4","2121.4","14519.7","2788"
"10","0","1","1","0","1","22068.9","46.4","32.6","419.6","22575.2","5133"
"20","0","1","1","0","1","15472.4","44.6","26.1","303.1","15852.9","2788"
"29","0","1","1","0","0","11452.8","288.4","22.4","298.4","12066.7","2830"
"34","0","1","1","0","1","24915.9","48.3","27.5","241.1","25239.9","5175"
"35","0","1","1","0","0","21679.1","375.6","37.5","295.8","22395.6","5227"
"45","0","1","1","0","1","14694.1","46.9","20.7","319.6","15086.7","2882"
"59","0","1","1","0","1","31845.9","57.7","28.5","2350.9","34290.1","5227"
"68","0","1","1","0","1","19956.4","71.8","47.6","413.8","20498.9","2882"
"80","0","1","1","0","1","29966.3","54.1","27.2","269.1","30322.8","5227"
"90","0","1","1","0","1","11605.5","43.2","125.1","299.4","12076.7","2882"
"103","0","1","1","0","1","25996.8","55.3","31.1","223","26311.8","5227"
"113","0","1","1","0","1","17780.5","44.3","25.6","350","18207.4","2882"
"125","0","1","1","0","1","22945.9","83.4","206.1","407.1","23654.3","5227"
"135","0","1","1","0","1","13941.5","44","27.6","720.5","14738.9","2882"
"149","0","1","1","0","1","24578.8","54.7","30.1","454.5","25124.4","5227"
"160","0","1","1","0","1","12319","58.1","28","345.6","12757.5","2882"
"172","0","1","1","0","1","24714.1","55.1","30.6","278.5","25085.9","5227"
"182","0","1","1","0","1","12348.1","49.9","24.8","242.9","12674.6","2882"
"196","0","1","1","0","1","26181.1","55.3","27.8","248.3","26517.5","5227"
"206","0","1","1","0","1","11749.2","40.2","20.9","772.4","12588.9","2882"
"220","0","1","1","0","1","23188.5","52.9","40.8","319.6","23611.1","5227"
"230","0","1","1","0","1","16769.7","43.6","2039.1","286.8","19144.1","2882"
"244","0","1","1","0","1","29343","61.9","37","353.2","29804","5227"
"254","0","1","1","0","1","15984.6","44.3","28.3","454.9","16520","2882"
"267","0","1","1","0","1","26936.8","51.3","25.9","306.3","27326.1","5227"
"277","0","1","1","0","1","14992","46.5","21.2","799.8","15886.1","2882"
"292","0","1","1","0","1","23561.7","54.7","33.3","255.7","23912.6","5227"
"303","0","1","1","0","1","12917.3","43.6","22.4","224.4","13213.6","2882"
"318","0","1","1","0","1","21351.4","69.8","33.4","267.2","21728.3","5227"
"329","0","1","1","0","1","13107.8","64.2","35.9","1631.4","14846.7","2882"
"342","0","1","1","0","1","26694.5","55.1","27.8","278.5","27063","5227"
"352","0","1","1","0","1","16675.2","45.7","25.4","269.8","17022.8","2882"
"366","0","1","1","0","1","24034.8","52.4","197.7","311.4","24603.8","5227"
"376","0","1","1","0","1","13982.9","48.5","20.3","265.8","14324.6","2882"
"390","0","1","1","0","1","24932.5","60.6","28.5","388.3","25417.1","5227"
"400","0","1","1","0","1","12899.8","47.2","21.7","223.3","13197.5","2882"
"414","0","1","1","0","1","28424.1","55.5","30.3","9176.4","37694.5","5227"
"424","0","1","1","0","1","18774.8","48.4","22.1","446.4","19297.7","2882"
"436","0","1","1","0","1","23527.4","59.4","1089","401.1","25084.2","5227"
