"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","3","3","1","1","0","3141.2","5.6","59.4","1049.4","4264","741"
"1","4","3","1","1","0","3442.9","4.4","14.8","275.5","3741.9","741"
"1","5","3","1","1","0","6304.6","6.8","292.9","347","6956.5","1521"
"2","5","3","1","0","0","6043.7","7.1","25.9","267.3","6351","1521"
"6","3","3","1","0","0","2904.2","642.6","28.7","2092.5","5679.6","756"
"6","4","3","1","0","0","2974.9","52.1","25.7","244.5","3304.1","756"
"7","3","3","1","0","0","3583.4","87.4","133.7","227.7","4042.9","756"
"7","4","3","1","0","0","3578.2","68.2","101.4","252","4009.3","756"
"8","3","3","1","0","0","3662.4","1821.4","145.3","309.5","5946.1","883"
"8","4","3","1","0","0","3688.4","184.6","100.6","577","4557.6","883"
"8","5","3","1","0","0","7313.9","81.7","98.7","231.1","7733.9","1536"
"10","5","3","1","0","0","6097.3","64.5","101.4","207.8","6479.6","1663"
"36","3","3","1","0","0","4015.5","220.6","150.4","196.2","4587.4","925"
"37","4","3","1","0","0","3970.5","207.1","180.3","253.3","4618.4","925"
"37","5","3","1","0","0","7409.2","61.9","81","233.9","7793.6","1705"
"39","3","3","1","0","0","3858.7","470.2","200","260.3","4795.8","977"
"41","4","3","1","0","0","2842.4","58.2","72.8","206.8","3187.7","977"
"41","5","3","1","0","0","5806.6","22","33.4","145.3","6009","1757"
