"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","0","1","1","1","0","12378.7","13.8","425.8","582.9","13407.3","2773"
"4","0","1","1","0","0","11136.4","574","28.3","527.2","12271","2788"
"6","0","1","1","0","0","11001.3","478.3","138","117.8","11738.5","2915"
"35","0","1","1","0","0","12225","223.1","99.1","119.9","12670.8","2957"
"39","0","1","1","0","0","17806.3","236.2","196","198.7","18442.4","3010"
"40","0","1","1","0","0","14327.3","317","65","132.3","14845.1","3061"
"41","0","1","1","0","0","11546.6","131.3","115.8","185","11982.3","3062"
"45","0","1","1","0","0","106479.1","620.6","117.6","144.9","107366.6","3391"
"46","0","1","1","0","0","339859.7","184.8","318.7","125.4","340494.8","3406"
"47","0","1","1","0","0","256908.8","68.7","2621","168.2","259774","3331"
"48","0","1","1","0","0","333996.8","65","97.7","226","334394.1","3347"
"49","0","1","1","0","0","70611.6","150.2","163.5","175","71105.3","3411"
"50","0","1","1","0","0","214435.7","178","163.5","167.7","214949.8","3389"
"51","0","1","1","0","0","214297.3","210.6","15874.4","151.2","230539.8","3359"
"52","0","1","1","0","0","267153.9","163.1","134.6","129.3","267588.5","3314"
"53","0","1","1","0","0","454515.7","83","18208.7","324.2","473143.3","3360"
"54","0","1","1","0","0","596880.3","193.7","29769.1","147.8","626994.5","3402"
"55","0","1","1","0","0","201148.7","64.1","16894.4","282.9","218400.3","3367"
"56","0","1","1","0","0","17571.1","54.7","68.7","156.2","17856.3","3319"
"57","0","1","1","0","0","40516.1","61.3","7017.4","222.7","47824.3","3338"
"58","0","1","1","0","0","58348","180.8","613.4","289.4","59435.8","3597"
"59","0","1","1","0","0","99404.4","217.2","115.1","117.1","99857.8","3454"
"60","0","1","1","0","0","92082.3","66.6","3597.9","174.5","95927.8","3672"
"61","0","1","1","0","0","130125.1","249.4","2815","172.4","133367.1","3520"
"62","0","1","1","0","0","39266.2","165.5","151.8","183.1","39771.2","3615"
"63","0","1","1","0","0","52372.4","1218.1","204.3","167.6","53966.3","3464"
"64","0","1","1","0","0","64387","1226.3","188.7","203.1","66013.5","3583"
"65","0","1","1","0","0","205578.3","516","3022.8","112.5","209233.7","3475"
"66","0","1","1","0","0","256805.3","123.3","9685.2","2528.1","269151.6","3492"
"67","0","1","1","0","0","81708.4","62.2","77.1","156.4","82011.2","3476"
"68","0","1","1","0","0","245825.7","729.2","6490.4","166","253216.6","3572"
"69","0","1","1","0","0","126110.8","70.8","93.8","198.1","126482.1","3565"
"70","0","1","1","0","0","42228.4","817.4","135.3","139.6","43325.4","3560"
"71","0","1","1","0","0","56808.3","60.5","96.5","167.2","57140.1","3626"
"72","0","1","1","0","0","75966.2","164.5","146.1","180.8","76462.6","3462"
"73","0","1","1","0","0","90843.2","80","4872.9","506.1","96311.1","3639"
"74","0","1","1","0","0","113836.5","184.2","158.7","161.9","114346.3","3705"
"75","0","1","1","0","0","129757","266.1","9186.4","144","139358.6","3482"
"76","0","1","1","0","0","31967.3","134.5","803.4","796.1","33706.3","3482"
"77","0","1","1","0","0","40200","1660.6","192.5","185","42243.4","3539"
"78","0","1","1","0","0","79509.8","87.5","817","4627.6","85051.9","3542"
"79","0","1","1","0","0","83444.4","85.8","3478.9","152.8","87169.1","3726"
"80","0","1","1","0","0","17493","66.5","187.5","307.8","18062.8","3564"
"81","0","1","1","0","0","110800.9","207.4","141","144.2","111298.4","3603"
"82","0","1","1","0","0","184105.3","91.8","6818.9","343.3","191369.6","3512"
"83","0","1","1","0","0","11832","136.9","75.5","114.6","12160.9","3579"
"84","0","1","1","0","0","17120.4","148.3","143.1","143.4","17559.9","3542"
"85","0","1","1","0","0","30765.7","93.9","472.1","5530.4","36870.7","3607"
"86","0","1","1","0","0","42312.3","92.7","383.3","577.6","43374.4","3685"
"87","0","1","1","0","0","80977.9","64.8","17005","144.6","98199.5","3541"
"88","0","1","1","0","0","88249","62.2","1464.7","262.5","90046.1","3559"
