"frame","sid","panes","vt_dirty","visual_dirty","resize","start_us","build_us","draw_us","present_us","total_us","quads"
"1","0","1","1","1","0","20398.6","19.9","691.8","1262.8","22380.4","5118"
"3","0","1","1","0","0","22620.1","1082.4","48.1","545.5","24299.9","5133"
"4","0","1","1","0","0","20730.5","430.8","148.2","156","21470.1","5260"
"8","0","2","1","0","1","12358.5","70.4","285.5","232.4","12954.4","2680"
"8","1","2","1","1","0","10527.3","11.7","21.2","259.7","10826.4","2538"
"9","1","2","1","0","0","10621.5","11.3","23.8","552.2","11215.2","2538"
"11","1","2","1","0","0","12003","63.4","76.9","141.7","12292.1","2553"
"12","1","2","1","0","0","10479.9","57.9","109.9","221.8","10877.3","2680"
"15","1","3","1","0","1","8432.4","62.1","251.6","254.8","9008.9","1382"
"15","2","3","1","1","0","5505.7","6.4","23.6","250","5791.6","1240"
"19","2","3","1","0","0","8236","65.7","29","441.2","8779.8","1382"
"22","2","4","1","0","1","3257","53.1","25.7","313.1","3654.4","733"
"22","3","4","1","1","0","2438.6","3.7","22.1","319.6","2787.9","591"
"25","3","4","1","0","0","2345.9","44.7","21.4","239.9","2660.4","606"
"26","3","4","1","0","0","2310.5","64.7","110.8","169.1","2664.1","733"
"27","0","4","1","0","0","9720.2","276.7","33.8","263.2","10300.4","2722"
"30","0","4","1","0","0","10668.5","223.1","153.9","167.9","11218.1","2775"
"34","1","4","1","0","0","5540","51.5","23.5","342.2","5965.4","1424"
"37","1","4","1","0","0","5508.6","52.4","114.4","320","6002.5","1477"
"40","2","4","1","0","0","2806.5","134","24","294.2","3264.2","775"
"44","2","4","1","0","0","3516.5","88.6","176","280.1","4070.1","828"
"47","1","4","1","0","1","4306.9","55.3","173.6","168.9","4708.9","922"
"47","2","4","1","0","1","2536.3","40.5","196.2","162.3","2938.3","520"
"47","3","4","1","0","1","2111.5","107.3","38.5","125.1","2385","483"
"48","0","4","1","0","1","11674.2","76.2","29.5","272.7","12059.6","1606"
"50","3","4","1","0","0","1297.8","50.6","21.2","287.6","1665.2","520"
"58","2","4","1","0","1","3108.2","50.7","18.6","235.2","3417.3","768"
"58","3","4","1","0","1","4438.7","27.8","13.8","2222.1","6704.5","768"
"59","0","4","1","0","1","12010.9","65.2","19.8","422.5","12523.7","2775"
"59","1","4","1","0","1","5970.1","48.5","15.8","276.3","6314.1","1477"
"69","0","4","1","0","1","6893.3","57.7","17.2","377.1","7349.4","1606"
"69","1","4","1","0","1","3448.1","36.1","25.8","274","3787","922"
"69","2","4","1","0","1","2089.8","28.3","7.8","142.4","2270.1","520"
"69","3","4","1","0","1","1931.7","27.7","7.9","14453.7","16423.5","520"
"83","0","4","1","0","1","12318.5","94","33.8","293.6","12747.4","2775"
